"";"Trial";"Condition";"Cents";"Break1";"Break2";"Break3";"Break4";"Break5";"Break6"
"1";"1";"Plus";"20";"64.2805160880566";"51.9585731062899";"-31.0516460112087";"70.6538902569842";"-193.593288090293";"313.244754539244"
"2";"1";"Minus";"-20";"-64.2805160880566";"-51.9585731062899";"31.0516460112087";"-70.6538902569842";"193.593288090293";"-313.244754539244"
"3";"2";"Plus";"20";"-427.989189079836";"-42.456797724912";"144.236590591713";"-193.221622044396";"-180.729660577141";"181.536393513022"
"4";"2";"Minus";"-20";"427.989189079836";"42.456797724912";"-144.236590591713";"193.221622044396";"180.729660577141";"-181.536393513022"
"5";"3";"Plus";"20";"362.840113820539";"-467.445439178644";"-161.794615631205";"-68.1466595888511";"197.029206884809";"-257.656599143205"
"6";"3";"Minus";"-20";"-362.840113820539";"467.445439178644";"161.794615631205";"68.1466595888511";"-197.029206884809";"257.656599143205"
"7";"4";"Plus";"20";"-471.089815709339";"-357.135745837373";"-265.881013299149";"396.966882166588";"-381.167637474281";"-31.3828978831977"
"8";"4";"Minus";"-20";"471.089815709339";"357.135745837373";"265.881013299149";"-396.966882166588";"381.167637474281";"31.3828978831977"
"9";"5";"Plus";"20";"389.294777174844";"460.164535445146";"404.539468383991";"309.301052823207";"-439.434508242748";"340.736001512787"
"10";"5";"Minus";"-20";"-389.294777174844";"-460.164535445146";"-404.539468383991";"-309.301052823207";"439.434508242748";"-340.736001512787"
"11";"6";"Plus";"20";"-448.299762902559";"-169.266188465505";"232.164959604054";"-175.628825370507";"-72.8857433256953";"-269.183166394568"
"12";"6";"Minus";"-20";"448.299762902559";"169.266188465505";"-232.164959604054";"175.628825370507";"72.8857433256953";"269.183166394568"
"13";"7";"Plus";"20";"-162.74318327556";"-105.276990538846";"23.2783397929346";"-413.527629830313";"-355.048925130147";"-409.459358412864"
"14";"7";"Minus";"-20";"162.74318327556";"105.276990538846";"-23.2783397929346";"413.527629830313";"355.048925130147";"409.459358412864"
"15";"8";"Plus";"20";"-235.559803625145";"-494.804872066079";"-300.081817740693";"-293.31331723889";"-119.90035922759";"-276.754087762101"
"16";"8";"Minus";"-20";"235.559803625145";"494.804872066079";"300.081817740693";"293.31331723889";"119.90035922759";"276.754087762101"
"17";"9";"Plus";"20";"-316.071880615731";"-386.171317021922";"154.87793086433";"-398.104361116239";"-188.173463334333";"48.7233977792525"
"18";"9";"Minus";"-20";"316.071880615731";"386.171317021922";"-154.87793086433";"398.104361116239";"188.173463334333";"-48.7233977792525"
"19";"10";"Plus";"20";"-462.908192377443";"353.453190932594";"-331.611908537971";"405.925246739492";"303.692220924733";"-300.181177216258"
"20";"10";"Minus";"-20";"462.908192377443";"-353.453190932594";"331.611908537971";"-405.925246739492";"-303.692220924733";"300.181177216258"
"21";"11";"Plus";"20";"-102.154028459895";"39.6005123404768";"-230.135648755874";"-499.333317483014";"-126.670323514666";"-164.798052598289"
"22";"11";"Minus";"-20";"102.154028459895";"-39.6005123404768";"230.135648755874";"499.333317483014";"126.670323514666";"164.798052598289"
"23";"12";"Plus";"20";"429.382419034816";"-93.5906226453695";"-338.532740959903";"464.703735492507";"68.25856434762";"281.489051421184"
"24";"12";"Minus";"-20";"-429.382419034816";"93.5906226453695";"338.532740959903";"-464.703735492507";"-68.25856434762";"-281.489051421184"
"25";"13";"Plus";"20";"466.297106581305";"399.697593810904";"-242.781548324797";"145.53611987381";"-302.505037231573";"-130.306896656231"
"26";"13";"Minus";"-20";"-466.297106581305";"-399.697593810904";"242.781548324797";"-145.53611987381";"302.505037231573";"130.306896656231"
"27";"14";"Plus";"20";"-43.5811729391886";"248.489837998265";"-46.7543550469649";"-269.945982113423";"-26.4602209459395";"105.55407999134"
"28";"14";"Minus";"-20";"43.5811729391886";"-248.489837998265";"46.7543550469649";"269.945982113423";"26.4602209459395";"-105.55407999134"
"29";"15";"Plus";"20";"86.6497109632765";"-161.188563665707";"-118.252549595363";"142.981020694567";"-247.041248855464";"-279.952000098745"
"30";"15";"Minus";"-20";"-86.6497109632765";"161.188563665707";"118.252549595363";"-142.981020694567";"247.041248855464";"279.952000098745"
"31";"16";"Plus";"20";"167.745221221801";"59.5300517262199";"-133.28834885717";"-42.6000870778493";"193.174830660731";"-173.471534570473"
"32";"16";"Minus";"-20";"-167.745221221801";"-59.5300517262199";"133.28834885717";"42.6000870778493";"-193.174830660731";"173.471534570473"
"33";"17";"Plus";"20";"472.010252188154";"490.195034102913";"-420.081216942025";"196.343737803745";"56.1993219438616";"-153.318244511458"
"34";"17";"Minus";"-20";"-472.010252188154";"-490.195034102913";"420.081216942025";"-196.343737803745";"-56.1993219438616";"153.318244511458"
"35";"18";"Plus";"20";"-203.383720348947";"-496.980257507496";"-337.320511383814";"-209.293507577691";"49.9674369690087";"469.413542251743"
"36";"18";"Minus";"-20";"203.383720348947";"496.980257507496";"337.320511383814";"209.293507577691";"-49.9674369690087";"-469.413542251743"
"37";"19";"Plus";"20";"136.381256069773";"-92.8482260677088";"-156.768575298881";"-145.990564355549";"297.811147933742";"-170.921266197572"
"38";"19";"Minus";"-20";"-136.381256069773";"92.8482260677088";"156.768575298881";"145.990564355549";"-297.811147933742";"170.921266197572"
"39";"20";"Plus";"20";"-32.9083246740891";"357.805640944083";"14.796965852523";"-261.257871482709";"-393.770980908501";"-136.548101389183"
"40";"20";"Minus";"-20";"32.9083246740891";"-357.805640944083";"-14.796965852523";"261.257871482709";"393.770980908501";"136.548101389183"
"41";"21";"Plus";"20";"177.023890042777";"-484.916662239494";"189.912978607136";"70.8733107200265";"387.982432343181";"-385.78081998942"
"42";"21";"Minus";"-20";"-177.023890042777";"484.916662239494";"-189.912978607136";"-70.8733107200265";"-387.982432343181";"385.78081998942"
"43";"22";"Plus";"20";"-77.4911290074693";"14.865518784661";"284.665989197196";"-5.54415401546385";"-94.1911617373939";"-404.31260884393"
"44";"22";"Minus";"-20";"77.4911290074693";"-14.865518784661";"-284.665989197196";"5.54415401546385";"94.1911617373939";"404.31260884393"
"45";"23";"Plus";"20";"-474.402616777524";"358.916625543088";"-367.672255756964";"-245.464190637947";"-458.108145300045";"178.7023382988"
"46";"23";"Minus";"-20";"474.402616777524";"-358.916625543088";"367.672255756964";"245.464190637947";"458.108145300045";"-178.7023382988"
"47";"24";"Plus";"20";"-203.571427542822";"440.743392241773";"-499.061473068919";"394.745632584016";"-311.074650267419";"381.525388547165"
"48";"24";"Minus";"-20";"203.571427542822";"-440.743392241773";"499.061473068919";"-394.745632584016";"311.074650267419";"-381.525388547165"
"49";"25";"Plus";"20";"-354.096300424297";"124.417006027466";"-450.261925676096";"347.873683833447";"-267.429814919842";"176.676220490205"
"50";"25";"Minus";"-20";"354.096300424297";"-124.417006027466";"450.261925676096";"-347.873683833447";"267.429814919842";"-176.676220490205"
"51";"26";"Plus";"20";"-152.662490258659";"404.852716443583";"-58.9913390104174";"-174.182098978345";"302.639119472904";"-151.055297159344"
"52";"26";"Minus";"-20";"152.662490258659";"-404.852716443583";"58.9913390104174";"174.182098978345";"-302.639119472904";"151.055297159344"
"53";"27";"Plus";"20";"-248.850266610606";"-180.063775736147";"-418.246765115706";"-105.975666786686";"-390.333608168823";"-349.018638704562"
"54";"27";"Minus";"-20";"248.850266610606";"180.063775736147";"418.246765115706";"105.975666786686";"390.333608168823";"349.018638704562"
"55";"28";"Plus";"20";"96.4309893908339";"-301.206239818559";"-460.848178281801";"-144.522177434108";"-153.566270896803";"251.496564084255"
"56";"28";"Minus";"-20";"-96.4309893908339";"301.206239818559";"460.848178281801";"144.522177434108";"153.566270896803";"-251.496564084255"
"57";"29";"Plus";"20";"-166.174284660716";"-464.075770787115";"44.3163217670506";"189.863825529572";"-476.217695872862";"174.043887225446"
"58";"29";"Minus";"-20";"166.174284660716";"464.075770787115";"-44.3163217670506";"-189.863825529572";"476.217695872862";"-174.043887225446"
